price,area,bedrooms,bathrooms,stories,mainroad,guestroom,basement,hotwaterheating,airconditioning,parking,prefarea,furnishingstatus
4007500,4500,3,1,2,no,no,yes,no,yes,0,no,semi-furnished
4007500,3460,4,1,2,yes,no,no,no,yes,0,no,semi-furnished
3990000,4100,4,1,1,no,no,yes,no,no,0,no,unfurnished
3990000,6480,3,1,2,no,no,no,no,yes,1,no,semi-furnished
3990000,4500,3,2,2,no,no,yes,no,yes,0,no,semi-furnished
3990000,3960,3,1,2,yes,no,no,no,no,0,no,furnished
3990000,4050,2,1,2,yes,yes,yes,no,no,0,yes,unfurnished
3920000,7260,3,2,1,yes,yes,yes,no,no,3,no,furnished
3920000,5500,4,1,2,yes,yes,yes,no,no,0,no,semi-furnished
3920000,3000,3,1,2,yes,no,no,no,no,0,no,semi-furnished
3920000,3290,2,1,1,yes,no,no,yes,no,1,no,furnished
3920000,3816,2,1,1,yes,no,yes,no,yes,2,no,furnished
3920000,8080,3,1,1,yes,no,no,no,yes,2,no,semi-furnished
3920000,2145,4,2,1,yes,no,yes,no,no,0,yes,unfurnished
3885000,3780,2,1,2,yes,yes,yes,no,no,0,no,semi-furnished
3885000,3180,4,2,2,yes,no,no,no,no,0,no,furnished
3850000,5300,5,2,2,yes,no,no,no,no,0,no,semi-furnished
3850000,3180,2,2,1,yes,no,yes,no,no,2,no,semi-furnished
3850000,7152,3,1,2,yes,no,no,no,yes,0,no,furnished
3850000,4080,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3850000,3850,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3850000,2015,3,1,2,yes,no,yes,no,no,0,yes,semi-furnished
3850000,2176,2,1,2,yes,yes,no,no,no,0,yes,semi-furnished
3836000,3350,3,1,2,yes,no,no,no,no,0,no,unfurnished
3815000,3150,2,2,1,no,no,yes,no,no,0,no,semi-furnished
3780000,4820,3,1,2,yes,no,no,no,no,0,no,semi-furnished
3780000,3420,2,1,2,yes,no,no,yes,no,1,no,semi-furnished
3780000,3600,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3780000,5830,2,1,1,yes,no,no,no,no,2,no,unfurnished
3780000,2856,3,1,3,yes,no,no,no,no,0,yes,furnished
3780000,8400,2,1,1,yes,no,no,no,no,1,no,furnished
3773000,8250,3,1,1,yes,no,no,no,no,2,no,furnished
3773000,2520,5,2,1,no,no,yes,no,yes,1,no,furnished
3773000,6930,4,1,2,no,no,no,no,no,1,no,furnished
3745000,3480,2,1,1,yes,no,no,no,no,0,yes,semi-furnished
3710000,3600,3,1,1,yes,no,no,no,no,1,no,unfurnished
3710000,4040,2,1,1,yes,no,no,no,no,0,no,semi-furnished
3710000,6020,3,1,1,yes,no,no,no,no,0,no,semi-furnished
3710000,4050,2,1,1,yes,no,no,no,no,0,no,furnished
3710000,3584,2,1,1,yes,no,no,yes,no,0,no,semi-furnished
3703000,3120,3,1,2,no,no,yes,yes,no,0,no,semi-furnished
3703000,5450,2,1,1,yes,no,no,no,no,0,no,furnished
3675000,3630,2,1,1,yes,no,yes,no,no,0,no,furnished
3675000,3630,2,1,1,yes,no,no,no,yes,0,no,unfurnished
3675000,5640,2,1,1,no,no,no,no,no,0,no,semi-furnished
3675000,3600,2,1,1,yes,no,no,no,no,0,no,furnished
3640000,4280,2,1,1,yes,no,no,no,yes,2,no,semi-furnished
3640000,3570,3,1,2,yes,no,yes,no,no,0,no,semi-furnished
3640000,3180,3,1,2,no,no,yes,no,no,0,no,semi-furnished
3640000,3000,2,1,2,yes,no,no,no,yes,0,no,furnished
3640000,3520,2,2,1,yes,no,yes,no,no,0,no,semi-furnished
3640000,5960,3,1,2,yes,yes,yes,no,no,0,no,unfurnished
3640000,4130,3,2,2,yes,no,no,no,no,2,no,semi-furnished
3640000,2850,3,2,2,no,no,yes,no,no,0,yes,unfurnished
